Name,Caliber,status,Height,position,weight,rank,homeTown,Speed(base),Strength(base),Agility(base),Acceleration(base),Jumping(base),Awareness(base),Stamina(base),Injury(base),"Break Tackle(rushing)",Trucking(rushing),Elusiveness(rushing),"Stiff Arm(rushing)","Spin Move(rushing)","Juke Move(rushing)",Carrying(rushing),"Ball Carrier Vision(rushing)","Pass Block(blocking)","Run Block(blocking)","Impact Blocking(blocking)",Catching(receiving),"Spectacular Catch(receiving)","Catch In Traffic(receiving)","Route Running(receiving)",Release(receiving),Tackle(tackling),"Hit Power(tackling)",Pursuit(tackling),"Play Recognition(tackling)","Power Moves(blockingShedding)","Finesse Moves(blockingShedding)","Block Shedding(blockingShedding)","Man Coverage(coverage)","Zone Coverage(coverage)",Press(coverage),"Throw Power(passing)","Throw Accuracy(passing)","Kick Power(kicking)","Kick Accuracy(kicking)","School 1","School 2","School 3","School 4","School 5","School 6","School 7","School 8","School 9","School 10"
"John Hill",3,"10 Schools Remaining","6'2""",DE,"259 lbs",612,Redan,C,C,D,C,B,,B,C,,,,,,,,,,,,,,,,,D,C,C,B,B,D,C,,,,,,,,Duke,Kentucky,"Georgia Tech",,,,,,,
"Bo Webb",3,"10 Schools Remaining","5'9""",HB,"189 lbs",613,Benbrook,C,D,C,B,C,,D,C,C,D,C,D,C,C,D,C,D,D,D,D,D,D,D,C,,,,,,,,,,,,,,,Baylor,Syracuse,"Texas A&M",,,,,,,
"Joe Merrick",3,"10 Schools Remaining","6'1""",G,"295 lbs",614,Merced,D,C,D,C,D,,D,B,,,,,,,,,C,B,D,,,,,,,,,,,,,,,,,,,,UCLA,"San Diego State",Army,,,,,,,
"Chris Lacey",3,"10 Schools Remaining","6'2""",OLB,"222 lbs",615,Highland,B,B,D,C,C,,C,A,,,,,,,,,,,,,,,,,C,D,D,D,C,C,C,C,D,D,,,,,Cal,"Oregon State",Army,Oregon,UNLV,,,,,
"Trent Jacobs",3,"10 Schools Remaining","6'4""",WR,"207 lbs",616,Houston,A,D,D,C,B,,B,D,C,D,D,D,D,D,C,B,,,,D,D,D,D,D,,,,,,,,,,,,,,,LSU,"Oklahoma State",,,,,,,,
"Derrick Barber",3,"10 Schools Remaining","6'2""",CB,"185 lbs",617,Raymondville,B,D,B,B,B,,C,C,,,,,,,,,,,,,,,,,D,D,D,C,D,D,D,C,B,C,,,,,Utah,SMU,"Texas A&M","UL Lafayette",,,,,,
"Avery Sanchez",3,"10 Schools Remaining","6'1""",CB,"169 lbs",618,Mansfield,A,D,C,B,B,,B,C,,,,,,,,,,,,,,,,,D,B,D,D,D,D,D,B,C,C,,,,,Missouri,"UL Lafayette",UCF,"Mississippi State",FIU,,,,,
"Paul Osborn",3,"Soft Commit","5'11""",CB,"199 lbs",619,Norwalk,C,D,C,C,B,,C,B,,,,,,,,,,,,,,,,,D,D,B,C,D,D,D,B,C,C,,,,,Cal,Nevada,Washington,,,,,,,
"Andrew Dean",3,"10 Schools Remaining","6'2""",G,"277 lbs",620,"Fort Bliss",D,D,D,B,D,,D,B,,,,,,,,,D,B,C,,,,,,,,,,,,,,,,,,,,"Texas Tech",SMU,TCU,Army,,,,,,
"Rodney Little",3,"10 Schools Remaining","6'5""",ATH,"232 lbs",621,"De Ridder",C,D,B,B,B,,C,B,D,D,D,D,C,D,D,D,,,,D,D,C,C,D,D,D,D,D,D,D,D,D,D,D,D,D,,,LSU,Georgia,Texas,,,,,,,
"Ken Singletary",3,"10 Schools Remaining","5'11""",MLB,"242 lbs",622,"Los Angeles",C,B,C,C,D,,B,B,,,,,,,,,,,,,,,,,D,C,B,B,B,D,C,D,D,D,,,,,USC,Oregon,Stanford,"Arizona State",Baylor,Cal,Alabama,Oklahoma,,
"Marlin Morrison",3,"10 Schools Remaining","5'9""",CB,"164 lbs",623,Brownsville,B,D,B,B,B,,C,C,,,,,,,,,,,,,,,,,D,D,C,C,D,D,D,B,C,D,,,,,"Ole Miss","Florida State",,,,,,,,
"Brian Byrd",3,"10 Schools Remaining","6'8""",T,"299 lbs",624,Vinings,D,B,D,A,D,,D,A,,,,,,,,,C,C,B,,,,,,,,,,,,,,,,,,,,UCF,"Georgia Tech","Arkansas State","Mississippi State",Kentucky,,,,,
"Matt Adams",3,"10 Schools Remaining","6'6""",TE,"265 lbs",625,"North Atlanta",B,C,C,C,D,,B,B,B,C,D,D,D,D,D,C,D,D,C,B,D,D,D,D,,,,,,,,,,,,,,,"NC State",ECU,,,,,,,,
"Ron Murphy",3,"10 Schools Remaining","6'3""",WR,"197 lbs",626,"Temple City",A,D,B,B,B,,C,B,C,D,D,D,D,D,D,C,,,,C,C,C,B,B,,,,,,,,,,,,,,,Cal,Stanford,Oregon,"Arizona State",Oklahoma,"Notre Dame",USC,,,
"Jarrett Harris",3,"10 Schools Remaining","6'5""",ATH,"252 lbs",627,Elmhurst,C,D,C,B,C,,C,B,D,D,A,D,B,C,D,C,,,,D,D,D,D,D,C,B,A,C,D,C,D,D,D,D,D,D,,,Purdue,"Penn State",Illinois,Iowa,,,,,,
"Walter Gunn",3,"10 Schools Remaining","6'1""",DE,"252 lbs",628,Granger,D,D,D,C,D,,C,B,,,,,,,,,,,,,,,,,C,C,C,B,B,B,C,,,,,,,,"Southern Miss",Syracuse,Houston,,,,,,,
"Tony Bennett",3,"10 Schools Remaining","6'1""",ATH,"182 lbs",629,"North Gulfport",B,D,C,B,B,,B,B,D,D,C,D,D,C,C,C,,,,D,D,A,B,C,D,D,D,D,D,D,D,D,D,D,D,D,,,"West Virginia","Southern Miss",,,,,,,,
"Lamar Edwards",3,"Soft Commit","6'1""",CB,"179 lbs",630,Gonzales,B,D,D,B,C,,B,B,,,,,,,,,,,,,,,,,D,D,D,C,D,D,D,C,B,C,,,,,Maryland,Arkansas,,,,,,,,
"Brett Campbell",3,"Soft Commit","6'2""",MLB,"234 lbs",631,Hamilton,B,D,D,D,D,,C,C,,,,,,,,,,,,,,,,,C,C,D,B,D,C,D,C,D,D,,,,,Oregon,,,,,,,,,
"Brandon Austin",3,"Soft Commit","6'5""",TE,"251 lbs",632,Tiffin,D,C,D,C,D,,C,B,D,C,D,D,D,D,C,D,D,D,B,D,D,C,D,D,,,,,,,,,,,,,,,Cal,Michigan,,,,,,,,
"Mark Jackson",3,"10 Schools Remaining","6'3""",G,"270 lbs",633,Springfield,D,C,C,B,D,,D,C,,,,,,,,,D,B,D,,,,,,,,,,,,,,,,,,,,Tennessee,USC,,,,,,,,
"Lance Arrington",3,"10 Schools Remaining","6'5""",T,"316 lbs",634,"The Colony",D,C,D,C,D,,D,C,,,,,,,,,B,C,B,,,,,,,,,,,,,,,,,,,,UTSA,Wyoming,"Texas Tech","UL Monroe",,,,,,
"Charles Elbert",3,"10 Schools Remaining","6'1""",P,"195 lbs",635,Shenandoah,D,D,C,D,C,,B,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,C,Alabama,Oklahoma,Iowa,Michigan,Colorado,Navy,"Air Force",Florida,Tulsa,"San Diego State"
"Lorenzo Montgomery",3,"10 Schools Remaining","6'6""",T,"279 lbs",636,"St. Johns",D,B,D,C,D,,C,C,,,,,,,,,B,D,C,,,,,,,,,,,,,,,,,,,,Purdue,Pittsburgh,Michigan,,,,,,,
"Jack Ham",3,"10 Schools Remaining","6'0""",OLB,"220 lbs",637,Pittsburg,B,B,D,C,C,,C,B,,,,,,,,,,,,,,,,,C,D,D,C,C,D,D,D,C,D,,,,,"Oregon State","Notre Dame",Oklahoma,,,,,,,
"Ray Madsen",3,"Soft Commit","6'2""",DE,"256 lbs",638,"Garfield Heights",D,D,D,B,D,,C,B,,,,,,,,,,,,,,,,,D,C,C,D,C,C,C,,,,,,,,Buffalo,Pittsburgh,Kentucky,,,,,,,
"Trent Richwalski",3,"10 Schools Remaining","6'2""",DT,"291 lbs",639,"Leisure City",D,C,D,C,D,,C,B,,,,,,,,,,,,,,,,,C,D,D,C,D,D,C,,,,,,,,Miami,Georgia,Virginia,,,,,,,
"Jacob Hunter",3,"Soft Commit","6'5""",QB,"219 lbs",640,Florissant,C,D,D,D,C,,B,B,D,D,D,D,D,C,D,C,,,,,,,,,,,,,,,,,,,B,C,,,"Kansas State",,,,,,,,,
"Joey Smith",3,"10 Schools Remaining","6'2""",WR,"175 lbs",641,Collinsville,B,D,C,D,C,,C,B,D,D,D,D,D,D,A,D,,,,C,B,C,C,D,,,,,,,,,,,,,,,Michigan,,,,,,,,,
"Robert Matthews",3,"10 Schools Remaining","6'4""",C,"288 lbs",642,Landen,D,C,D,B,D,,D,B,,,,,,,,,C,B,C,,,,,,,,,,,,,,,,,,,,"Michigan State",Toledo,Wisconsin,Northwestern,"Notre Dame","Ohio State",,,,
"Orlando Henry",3,"10 Schools Remaining","6'5""",TE,"236 lbs",643,Evergreen,C,C,C,D,D,,C,B,D,C,D,D,D,D,D,C,C,C,D,D,D,C,D,D,,,,,,,,,,,,,,,Nevada,Oklahoma,,,,,,,,
"Eric Moore",3,"10 Schools Remaining","6'3""",DE,"242 lbs",644,"Mount Vernon",D,C,D,B,D,,C,B,,,,,,,,,,,,,,,,,C,C,C,B,C,C,B,,,,,,,,"Penn State",Clemson,"South Carolina","Mississippi State","Virginia Tech",,,,,
"Garrett Christian",3,"10 Schools Remaining","6'4""",QB,"224 lbs",645,Findlay,D,D,D,D,D,,C,D,D,D,D,D,D,D,D,D,,,,,,,,,,,,,,,,,,,B,B,,,Tennessee,,,,,,,,,
"Lee Williams",3,"10 Schools Remaining","6'2""",DT,"288 lbs",646,"White Oak",D,C,D,D,D,,C,C,,,,,,,,,,,,,,,,,C,C,B,D,D,D,C,,,,,,,,USC,Alabama,"Notre Dame",,,,,,,
"Dennis Branch",3,"10 Schools Remaining","6'0""",HB,"210 lbs",647,"Mountain View",A,D,C,C,D,,D,C,D,D,B,B,C,B,D,D,D,D,D,D,D,D,D,D,,,,,,,,,,,,,,,"Fresno State",UCLA,,,,,,,,
"Alex Holly",3,"10 Schools Remaining","6'3""",QB,"211 lbs",648,Rainsville,D,D,D,B,C,,C,C,D,D,D,D,D,D,D,D,,,,,,,,,,,,,,,,,,,B,C,,,"Georgia Tech",,,,,,,,,
"Brian Spence",3,"Soft Commit","6'3""",MLB,"235 lbs",649,Kingston,C,C,D,B,C,,B,C,,,,,,,,,,,,,,,,,C,D,B,C,D,D,B,D,D,D,,,,,Pittsburgh,Connecticut,"West Virginia",Purdue,"Boston College","Penn State",,,,
"Harold Perry",3,"Soft Commit","6'0""",DT,"301 lbs",650,Gardena,D,B,D,D,B,,D,C,,,,,,,,,,,,,,,,,C,C,D,C,D,B,C,,,,,,,,USC,Stanford,,,,,,,,
"Claude Miles",3,"10 Schools Remaining","6'0""",DT,"280 lbs",651,"Union City",D,C,D,D,D,,D,C,,,,,,,,,,,,,,,,,C,C,B,C,C,D,C,,,,,,,,Wisconsin,LSU,,,,,,,,
"Kevin Baker",3,"10 Schools Remaining","6'2""",DE,"254 lbs",652,"Ft Campbell North",D,B,D,C,D,,C,B,,,,,,,,,,,,,,,,,C,C,B,C,D,C,C,,,,,,,,"Notre Dame","Virginia Tech",,,,,,,,
"Bryan Dickson",3,"10 Schools Remaining","6'3""",T,"306 lbs",653,"West Covina",D,C,D,B,D,,C,C,,,,,,,,,C,C,D,,,,,,,,,,,,,,,,,,,,Nevada,"Fresno State",Cal,UCLA,Wyoming,,,,,
"Richard Davis",3,"10 Schools Remaining","5'9""",MLB,"223 lbs",654,"New River Station",B,B,B,B,D,,B,C,,,,,,,,,,,,,,,,,D,C,C,C,C,D,C,D,C,D,,,,,"South Carolina","Florida State","Penn State",Georgia,LSU,,,,,
"Scott Baker",3,"Soft Commit","6'1""",OLB,"220 lbs",655,Irmo,C,C,C,C,B,,B,B,,,,,,,,,,,,,,,,,C,C,D,D,D,C,D,D,D,D,,,,,Clemson,"Miami University",Navy,,,,,,,
"Donte Coley",3,"10 Schools Remaining","6'1""",WR,"180 lbs",656,Ottawa,B,D,C,C,C,,B,C,D,D,D,D,D,D,B,C,,,,D,D,D,C,D,,,,,,,,,,,,,,,Toledo,,,,,,,,,
"Jeremy Harvey",3,"10 Schools Remaining","6'3""",TE,"254 lbs",657,"West End-Cobb",D,C,D,B,C,,C,B,D,B,B,D,D,B,D,C,C,C,C,D,D,D,D,D,,,,,,,,,,,,,,,Alabama,Tennessee,,,,,,,,
"Blaine Holley",3,"10 Schools Remaining","6'5""",C,"274 lbs",658,Ironton,D,B,C,A,D,,D,D,,,,,,,,,B,D,D,,,,,,,,,,,,,,,,,,,,Rutgers,"Notre Dame","Michigan State",Northwestern,Wisconsin,"Ohio State",,,,
"Ben Jackson",3,"10 Schools Remaining","6'3""",WR,"207 lbs",659,Montgomery,B,D,C,A,C,,C,B,D,D,D,D,D,D,D,D,,,,D,D,D,D,D,,,,,,,,,,,,,,,Syracuse,"Michigan State",Toledo,Ohio,,,,,,
"Doug Williams",3,"Soft Commit","6'4""",G,"300 lbs",660,Willingboro,D,B,B,A,D,,D,B,,,,,,,,,C,C,C,,,,,,,,,,,,,,,,,,,,Alabama,"Notre Dame",USC,Maryland,Oklahoma,,,,,
"Jovon Wheeler",3,"10 Schools Remaining","6'5""",T,"309 lbs",661,"Fort Payne",D,B,D,B,D,,D,B,,,,,,,,,B,C,D,,,,,,,,,,,,,,,,,,,,Arkansas,"Georgia Tech",,,,,,,,
"Ricky Thomas",3,"5 Schools Remaining","6'0""",K,"191 lbs",662,Franklin,D,D,D,D,D,,B,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,B,Wisconsin,Oklahoma,"Notre Dame",Alabama,Michigan,"Oregon State",Vanderbilt,UCLA,"UL Monroe",
"Reggie Bonner",3,"10 Schools Remaining","6'2""",DT,"269 lbs",663,"Park City",D,B,D,D,D,,D,B,,,,,,,,,,,,,,,,,D,D,C,C,C,C,C,,,,,,,,Wyoming,,,,,,,,,
"Eric Turner",3,"10 Schools Remaining","6'2""",G,"295 lbs",664,"East Naples",D,C,D,B,D,,D,D,,,,,,,,,B,C,B,,,,,,,,,,,,,,,,,,,,Clemson,FIU,Marshall,UCF,Miami,"Ole Miss",Connecticut,,,
"Kris Carter",3,"10 Schools Remaining","6'0""",CB,"172 lbs",665,Blacksburg,C,D,C,C,C,,D,C,,,,,,,,,,,,,,,,,D,D,C,D,D,D,D,C,B,C,,,,,Virginia,Northwestern,Wisconsin,,,,,,,
"John Blankenship",3,"Soft Commit","6'8""",TE,"257 lbs",666,"Fort Washington",B,D,D,C,D,,B,C,D,C,D,D,D,D,D,D,D,C,D,C,C,D,D,C,,,,,,,,,,,,,,,Navy,,,,,,,,,
"Frank Williams",3,"10 Schools Remaining","6'2""",CB,"185 lbs",667,"Mountain Brook",B,D,B,B,C,,B,B,,,,,,,,,,,,,,,,,D,D,D,C,D,D,D,C,C,C,,,,,Louisville,Virginia,"Southern Miss",,,,,,,
"P.J. Alexander",3,"10 Schools Remaining","6'3""",QB,"211 lbs",668,Chantilly,D,D,D,D,D,,C,B,D,D,D,D,D,D,D,D,,,,,,,,,,,,,,,,,,,C,C,,,"Penn State","Notre Dame","North Carolina","West Virginia",,,,,,
"Randy Moore",3,"10 Schools Remaining","6'3""",DT,"263 lbs",669,Columbia,D,C,D,D,D,,D,C,,,,,,,,,,,,,,,,,B,D,C,D,D,D,D,,,,,,,,"Boston College",,,,,,,,,
"Patrick Crosby",3,"10 Schools Remaining","5'10""",WR,"185 lbs",670,"Fair Lawn",A,D,D,C,D,,D,C,D,D,D,D,D,D,A,D,,,,D,D,D,D,D,,,,,,,,,,,,,,,Army,,,,,,,,,
"John Bostic",3,"Soft Commit","6'2""",MLB,"230 lbs",671,"Newport Hills",B,D,D,C,D,,C,B,,,,,,,,,,,,,,,,,C,D,D,C,C,D,D,D,D,D,,,,,"Arizona State",,,,,,,,,
"Jesse Hall",3,"10 Schools Remaining","5'11""",WR,"201 lbs",672,"Kings Park",B,D,C,B,C,,B,C,D,D,D,D,D,D,D,D,,,,C,D,D,D,D,,,,,,,,,,,,,,,Purdue,Oklahoma,,,,,,,,
"Robert Williams",3,"10 Schools Remaining","6'0""",CB,"189 lbs",673,Romulus,A,D,B,A,B,,C,C,,,,,,,,,,,,,,,,,D,D,D,C,D,D,D,D,C,B,,,,,Buffalo,"NC State",,,,,,,,
"Roderick Cutler",3,"10 Schools Remaining","6'6""",DE,"260 lbs",674,Parkersburg,C,C,D,B,D,,D,C,,,,,,,,,,,,,,,,,D,C,B,C,C,D,C,,,,,,,,Tennessee,"Penn State",,,,,,,,
"Terrell Ross",3,"10 Schools Remaining","6'2""",WR,"217 lbs",675,"Warr Acres",B,D,D,B,C,,D,C,D,D,D,D,D,D,B,D,,,,D,D,D,C,D,,,,,,,,,,,,,,,"Colorado State",,,,,,,,,
"Danny Massey",3,"10 Schools Remaining","6'4""",G,"283 lbs",676,"Apple Valley",D,C,D,A,D,,D,B,,,,,,,,,C,C,C,,,,,,,,,,,,,,,,,,,,Ohio,Auburn,,,,,,,,
"Willie Gibson",3,"10 Schools Remaining","5'11""",CB,"204 lbs",677,"Smith Creek",A,D,A,B,B,,B,B,,,,,,,,,,,,,,,,,D,D,D,C,D,D,D,C,C,B,,,,,Miami,Tennessee,Clemson,Nebraska,"North Carolina",Florida,,,,
"Trevor Wood",3,"10 Schools Remaining","6'0""",CB,"189 lbs",678,Olathe,A,D,B,B,B,,C,B,,,,,,,,,,,,,,,,,D,D,D,D,D,D,D,C,B,D,,,,,Iowa,,,,,,,,,
"Jeremy Jensen",3,"8 Schools Remaining","6'4""",DT,"262 lbs",679,Portland,D,B,D,D,D,,C,C,,,,,,,,,,,,,,,,,C,C,C,D,D,C,C,,,,,,,,Maryland,UCF,,,,,,,,
"Mike Vincent",3,"10 Schools Remaining","5'11""",K,"178 lbs",680,Scottsboro,D,D,D,D,D,,B,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,B,Alabama,Auburn,USC,"Notre Dame",Georgia,"Southern Miss","Oregon State",Wyoming,,
"William Walker",3,"Soft Commit","5'11""",MLB,"234 lbs",681,Morehead,C,C,D,B,C,,B,B,,,,,,,,,,,,,,,,,C,D,D,C,D,D,C,D,D,D,,,,,Louisville,"Virginia Tech",Rutgers,Tulsa,,,,,,
"Tyler Rose",3,"Soft Commit","5'11""",DT,"294 lbs",682,Joplin,D,C,D,D,D,,D,B,,,,,,,,,,,,,,,,,D,D,C,C,D,C,C,,,,,,,,Toledo,,,,,,,,,
"Teddy Horton",3,"10 Schools Remaining","6'1""",DE,"240 lbs",683,"Fort Worth",D,D,D,B,D,,B,C,,,,,,,,,,,,,,,,,D,C,C,D,D,C,C,,,,,,,,Houston,,,,,,,,,
"Brian Williams",3,"10 Schools Remaining","6'0""",WR,"212 lbs",684,Lexington,C,D,C,B,C,,C,B,C,D,D,D,D,D,A,C,,,,D,C,D,C,D,,,,,,,,,,,,,,,Iowa,Houston,Wisconsin,LSU,Missouri,Georgia,Nebraska,,,
"Matt Kirkpatrick",3,"10 Schools Remaining","6'3""",DE,"275 lbs",685,"Boise City",C,B,C,C,D,,D,B,,,,,,,,,,,,,,,,,D,D,C,C,D,D,C,,,,,,,,Wyoming,,,,,,,,,
"Billy Hayden",3,"10 Schools Remaining","5'11""",SS,"198 lbs",686,Ashtabula,C,D,B,B,B,,A,C,,,,,,,,,,,,,,,,,C,D,D,D,D,D,D,D,C,B,,,,,Virginia,"Virginia Tech",Houston,,,,,,,
"Aaron Washington",3,"Soft Commit","6'1""",OLB,"224 lbs",687,"West Babylon",B,B,D,C,C,,C,B,,,,,,,,,,,,,,,,,C,B,D,D,D,D,D,C,D,D,,,,,Buffalo,Rutgers,Syracuse,,,,,,,
"Tyler Smith",3,"10 Schools Remaining","6'5""",WR,"223 lbs",688,"Silver Lake",B,D,B,B,C,,B,B,D,D,D,D,D,C,B,C,,,,D,D,D,C,D,,,,,,,,,,,,,,,Duke,ECU,"Virginia Tech",Tennessee,"Georgia Tech","NC State",,,,
"Donny Cook",3,"10 Schools Remaining","6'4""",G,"311 lbs",689,"Fort Smith",D,C,D,B,D,,D,B,,,,,,,,,B,C,B,,,,,,,,,,,,,,,,,,,,UTEP,,,,,,,,,
"Joe Parks",3,"Soft Commit","5'11""",ATH,"173 lbs",690,"Milford Mill",A,D,C,B,B,,C,B,D,D,D,D,C,C,D,D,,,,D,D,D,D,D,D,C,D,D,D,D,D,D,C,C,C,D,,,"Virginia Tech",Tennessee,Navy,,,,,,,
"George Toth",3,"10 Schools Remaining","6'2""",K,"211 lbs",691,Etowah,C,D,C,C,D,,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,C,USC,Oklahoma,Alabama,Auburn,Georgia,"Notre Dame","Arkansas State",Vanderbilt,,
"Tyson Mason",3,"10 Schools Remaining","6'1""",CB,"180 lbs",692,Streamwood,B,D,C,B,C,,C,C,,,,,,,,,,,,,,,,,D,C,C,B,D,D,D,B,C,C,,,,,"South Carolina","Kansas State",Northwestern,Iowa,,,,,,
"Will Godfrey",3,"Soft Commit","6'1""",CB,"174 lbs",693,Pella,B,D,A,B,C,,C,B,,,,,,,,,,,,,,,,,D,D,D,C,D,D,D,C,C,D,,,,,"Penn State","Kansas State",Iowa,,,,,,,
"Kris Smith",3,"10 Schools Remaining","6'1""",P,"202 lbs",694,"Lauderdale Lakes",D,D,D,C,D,,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,B,Alabama,Oklahoma,Iowa,Colorado,"South Carolina",Navy,"Air Force",Tennessee,Florida,"San Diego State"
"Brian Britton",3,"10 Schools Remaining","5'10""",K,"171 lbs",695,Oquirrh,D,D,C,C,D,,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,B,USC,Alabama,Stanford,Texas,LSU,"Arizona State",Wisconsin,,,
"Cliff Poland",3,"10 Schools Remaining","6'2""",DT,"283 lbs",696,Brooklyn,D,C,D,C,C,,C,C,,,,,,,,,,,,,,,,,C,D,D,C,D,D,C,,,,,,,,Purdue,Ohio,"Notre Dame",Cincinnati,,,,,,
"Rashad Montgomery",3,"10 Schools Remaining","6'2""",CB,"191 lbs",697,Orono,A,D,C,A,C,,C,C,,,,,,,,,,,,,,,,,D,D,C,D,D,D,D,C,C,D,,,,,Oklahoma,Georgia,,,,,,,,
"Jeff Alford",3,"Soft Commit","6'5""",T,"295 lbs",698,Middleton,D,D,D,B,D,,D,D,,,,,,,,,C,B,D,,,,,,,,,,,,,,,,,,,,"Oklahoma State",,,,,,,,,
"Freddie Fraser",3,"10 Schools Remaining","6'0""",CB,"176 lbs",699,"Ewa Beach",B,D,C,B,B,,C,B,,,,,,,,,,,,,,,,,D,D,D,C,D,D,D,C,C,C,,,,,"San Diego State",Hawai'i,"Arizona State",,,,,,,
"Tony McClain",3,"10 Schools Remaining","6'6""",TE,"252 lbs",700,Willcox,B,D,D,C,C,,B,B,D,D,D,D,D,D,D,D,D,D,D,C,D,C,D,C,,,,,,,,,,,,,,,Arizona,"Air Force",Utah,,,,,,,
"Rich George",3,"10 Schools Remaining","6'4""",G,"269 lbs",701,"Boise City",D,D,D,B,D,,D,B,,,,,,,,,B,C,C,,,,,,,,,,,,,,,,,,,,Washington,"Fresno State","Boise State",,,,,,,
"Andrew Johnson",3,"10 Schools Remaining","6'3""",G,"306 lbs",702,Paducah,D,C,D,C,D,,C,B,,,,,,,,,C,C,D,,,,,,,,,,,,,,,,,,,,"West Virginia","Ohio State",,,,,,,,
"Mike Winston",3,"Soft Commit","6'2""",ATH,"232 lbs",703,Talleyville,B,D,C,B,C,,B,C,D,D,D,D,D,D,D,D,,,,D,D,D,D,D,D,D,B,C,D,D,D,C,D,C,A,B,,,Rutgers,"Penn State",Maryland,,,,,,,
"Tyler Gold",3,"10 Schools Remaining","6'2""",MLB,"234 lbs",704,Tulsa,B,C,D,B,C,,C,B,,,,,,,,,,,,,,,,,C,C,C,C,D,B,D,D,D,D,,,,,"Arizona State","Ohio State",,,,,,,,
"Eddie Jackson",3,"10 Schools Remaining","6'2""",HB,"222 lbs",705,Mableton,C,B,C,A,B,,B,B,D,D,C,D,C,D,D,D,D,D,D,D,D,D,D,D,,,,,,,,,,,,,,,Ohio,,,,,,,,,
"Lorenzo Willis",3,"10 Schools Remaining","6'2""",FS,"188 lbs",706,Panthersville,C,B,D,C,C,,C,B,,,,,,,,,,,,,,,,,D,B,C,D,D,D,D,C,D,C,,,,,Utah,"Wake Forest",,,,,,,,
"D'Juan Bain",3,"10 Schools Remaining","6'2""",G,"286 lbs",707,"Powder Springs",D,C,D,C,D,,C,C,,,,,,,,,D,B,C,,,,,,,,,,,,,,,,,,,,"Wake Forest",Florida,Tennessee,"Florida State",,,,,,
"Shane Banks",3,"10 Schools Remaining","6'1""",HB,"215 lbs",708,"Fort Benning South",A,D,C,A,B,,D,B,D,D,D,C,B,C,D,D,D,D,D,D,D,D,D,D,,,,,,,,,,,,,,,Ohio,,,,,,,,,
"Peter McBride",3,"10 Schools Remaining","6'1""",WR,"182 lbs",709,Lawrenceville,B,D,D,C,C,,C,C,D,D,D,D,D,C,A,D,,,,C,D,D,C,D,,,,,,,,,,,,,,,Clemson,,,,,,,,,
"David Horton",3,"10 Schools Remaining","6'1""",MLB,"240 lbs",710,Savannah,B,C,C,A,D,,C,C,,,,,,,,,,,,,,,,,C,D,D,D,D,D,D,D,D,D,,,,,Tennessee,Virginia,,,,,,,,
"Richard Williams",3,"10 Schools Remaining","6'3""",DE,"237 lbs",711,Vidalia,D,B,D,B,B,,C,B,,,,,,,,,,,,,,,,,D,C,C,C,C,C,C,,,,,,,,"Florida State",Georgia,Illinois,,,,,,,
"Shannon Brown",3,"10 Schools Remaining","6'3""",G,"324 lbs",712,Fitzgerald,D,B,D,C,D,,D,B,,,,,,,,,C,C,D,,,,,,,,,,,,,,,,,,,,UCF,"Northern Illinois",,,,,,,,
"Blake Parrish",3,"10 Schools Remaining","6'1""",CB,"166 lbs",713,"Fort Stewart",B,D,C,B,B,,B,C,,,,,,,,,,,,,,,,,D,D,D,D,D,D,D,B,B,D,,,,,Indiana,Auburn,,,,,,,,
"Dominique McGrew",3,"10 Schools Remaining","5'10""",ATH,"175 lbs",714,Marathon,C,D,B,A,D,,B,B,D,D,C,D,B,B,C,D,,,,C,D,D,D,D,C,C,D,D,D,D,D,D,D,C,D,D,,,UCF,Auburn,"Wake Forest",,,,,,,
"Kyle Cotton",3,"10 Schools Remaining","5'11""",HB,"198 lbs",715,"Olympia Heights",A,D,C,C,B,,B,C,D,D,C,D,D,C,D,D,D,D,D,D,D,D,D,D,,,,,,,,,,,,,,,Miami,,,,,,,,,
"Nick Arnold",3,"10 Schools Remaining","6'1""",ATH,"229 lbs",716,Maitland,D,C,B,B,D,,B,C,C,B,C,D,D,D,D,B,,,,C,D,C,D,D,D,D,D,D,D,D,D,D,D,D,D,D,,,"Arkansas State",Alabama,Auburn,Georgia,"Fresno State",Kentucky,Louisville,Connecticut,LSU,Army
"Fabian Hicks",3,"10 Schools Remaining","6'2""",ATH,"241 lbs",717,Niceville,C,D,D,C,C,,B,B,C,D,D,D,C,C,D,D,,,,D,D,D,D,D,C,B,D,C,D,D,D,C,D,D,B,D,,,UCF,"Southern Miss",Tennessee,"West Virginia",,,,,,
"Trey McDonald",3,"10 Schools Remaining","6'0""",WR,"192 lbs",718,McKinney,B,D,C,B,B,,B,D,D,D,D,D,D,D,C,D,,,,D,D,D,B,D,,,,,,,,,,,,,,,"Ohio State",Baylor,,,,,,,,
"Michael Dixon",3,"10 Schools Remaining","6'3""",OLB,"222 lbs",719,Portland,C,C,D,B,B,,B,B,,,,,,,,,,,,,,,,,C,D,D,D,D,D,D,D,C,D,,,,,"Texas A&M",UTSA,"Miami University",Texas,"Arizona State",,,,,
